actor1,actor2,weight
"Andrew Kevin Walker","Morgan Freeman",1
"Brad Pitt","Kevin Spacey",1
"Brad Pitt","Morgan Freeman",1
"Kevin Spacey","Morgan Freeman",1
"Anthony Hopkins","Jodie Foster",1
"Anthony Hopkins","Kasi Lemmons",1
"Anthony Hopkins","Lawrence A. Bonney",1
"Jodie Foster","Kasi Lemmons",1
"Jodie Foster","Lawrence A. Bonney",1
"Kasi Lemmons","Lawrence A. Bonney",1
"Alec Guinness","Carrie Fisher",1
"Alec Guinness","Harrison Ford",1
"Alec Guinness","Mark Hamill",1
"Akira Ishihama","Shima Iwashita",1
"Akira Ishihama","Tatsuya Nakadai",1
"Akira Ishihama","Tetsurô Tanba",1
"Shima Iwashita","Tatsuya Nakadai",1
"Shima Iwashita","Tetsurô Tanba",1
"Tatsuya Nakadai","Tetsurô Tanba",1
"Keiko Tsushima","Takashi Shimura",1
"Keiko Tsushima","Toshirô Mifune",1
"Keiko Tsushima","Yukiko Shimazaki",1
"Takashi Shimura","Toshirô Mifune",3
"Takashi Shimura","Yukiko Shimazaki",1
"Toshirô Mifune","Yukiko Shimazaki",1
"Donna Reed","James Stewart",1
"Donna Reed","Lionel Barrymore",1
"Donna Reed","Thomas Mitchell",1
"James Stewart","Lionel Barrymore",1
"James Stewart","Thomas Mitchell",1
"Lionel Barrymore","Thomas Mitchell",1
"Frances Conroy","Joaquin Phoenix",1
"Frances Conroy","Robert De Niro",1
"Frances Conroy","Zazie Beetz",1
"Joaquin Phoenix","Robert De Niro",1
"Joaquin Phoenix","Zazie Beetz",1
"Robert De Niro","Zazie Beetz",1
"J.K. Simmons","Melissa Benoist",1
"J.K. Simmons","Miles Teller",1
"J.K. Simmons","Paul Reiser",1
"Melissa Benoist","Miles Teller",1
"Melissa Benoist","Paul Reiser",1
"Miles Teller","Paul Reiser",1
"Anne Le Ny","François Cluzet",1
"Anne Le Ny","Omar Sy",1
"Anne Le Ny","Éric Toledano",1
"François Cluzet","Omar Sy",1
"François Cluzet","Éric Toledano",1
"Omar Sy","Éric Toledano",1
"Christian Bale","Hugh Jackman",1
